1.1       	EG        	1690.0	1.0
1.1       	DEO       	390.0	.23100000000000001
1.1       	DO        	390.0	.23100000000000001
1.1       	RP        	910.0	.53800000000000003
1.2       	@         	390.0	1.0
1.3       	DO        	585.0	.29999999999999999
1.3       	EG        	1315.0	1.0
1.3       	RP        	910.0	.69999999999999996
1.4       	@         	390.0	1.0
10        	EG        	850.0	1.0
10        	RP        	600.0	.69999999999999996
10        	SPA       	250.0	.29999999999999999
12        	CCI       	400.0	1.0
12        	ISC       	200.0	1.0
12        	CSI       	200.0	1.0
12        	DCI       	300.0	1.0
13        	ARB       	780.0	1.0
13        	PER       	387.0	1.0
14        	RP        	427.0	.69999999999999996
14        	EG        	610.0	1.0
14        	DO        	183.0	.29999999999999999
15        	SYT       	240.0	1.0
15        	EDI       	240.0	1.0
16        	@         	1000.0	1.0
17        	URB       	290.0	1.0
17        	EDF       	160.0	1.0
18        	@         	390.0	1.0
19        	@         	390.0	1.0
2.1       	RP        	651.0	.69999999999999996
2.1       	EG        	930.0	1.0
2.1       	DO        	279.0	.29999999999999999
2.2       	RP        	685.0	.69999999999999996
2.2       	DO        	490.0	.29999999999999999
2.2       	EG        	980.0	1.0
20        	@         	230.0	1.0
22        	@         	580.0	1.0
23        	ADM       	490.0	.01
23        	CON       	980.0	.040000000000000001
24        	@         	250.0	1.0
25        	EG        	500.0	1.0
25        	SM        	150.0	.29999999999999999
25        	RP        	350.0	.69999999999999996
26        	RP        	400.0	1.0
27        	@         	400.0	1.0
28        	@         	400.0	1.0
29        	PP        	600.0	1.0
29        	EG        	900.0	1.0
29        	AP        	300.0	1.0
3         	RP        	290.0	.29999999999999999
3         	DO        	680.0	.69999999999999996
3         	EG        	970.0	1.0
32        	EG        	700.0	1.0
32        	RP        	700.0	.69999999999999996
32        	DO        	300.0	.29999999999999999
4         	EG        	2050.0	1.0
4         	RP        	1435.0	.69999999999999996
4         	DO        	615.0	.29999999999999999
5a        	ARP       	160.0	.20999999999999999
5a        	CSSO      	300.0	.84999999999999998
5a        	REB       	160.0	.29999999999999999
5a        	CSSP      	160.0	.40000000000000002
5a        	EG        	360.0	1.0
5b        	EG        	360.0	1.0
5b        	CSSP      	160.0	.40000000000000002
5b        	REB       	160.0	.29999999999999999
5b        	CSSO      	300.0	.84999999999999998
5b        	ARP       	160.0	.20999999999999999
6         	EG        	600.0	1.0
6         	RPG       	200.0	1.0
6         	SPCC      	200.0	1.0
6         	DPCC      	200.0	1.0
7         	LE        	300.0	1.0
8         	DSS       	290.0	4.0
8         	DSE       	465.0	6.0
8         	DAT       	700.0	2.0
8         	DAS       	290.0	4.0
8         	DAE       	465.0	6.0
8         	DST       	700.0	2.0
8         	REPT      	700.0	2.0
8         	REPE      	465.0	6.0
8         	REPS      	290.0	4.0
9         	MET       	700.0	1.0
9         	MES       	290.0	1.0
9         	MEE       	465.0	1.0
